Key,Description,Standard
SAY.flowchart_game_story.267.王浩,,听起来不错，{wc}来一杯吧！
SAY.flowchart_game_story.266.酒吧侍者,,好的，请稍等。{wc}这是您的鸡尾酒
SAY.flowchart_game_story.270.王浩,,谢谢
SAY.flowchart_game_story.232.,,王浩拿起了酒杯，慢慢地喝下一口。
SAY.flowchart_game_story.273.酒吧侍者,,对了，{wc}我们特制的鸡尾酒有一个很特别的名字，{wc}叫做血色浪漫。{wc}它背后还有一段很精彩的故事，{wc}你想听听吗？
MENU.flowchart_game_story.282,,听故事
MENU.flowchart_game_story.274,,不听故事
SAY.flowchart_game_story.246.王浩,,{confused}喂，你说什么逃离现实？{wc}什么醍醐灌顶啊？
SAY.flowchart_game_story.247.酒吧侍者,,没什么啊，你应该比我清楚才对。{wc}除非你是第一次来日落酒吧。
SAY.flowchart_game_story.248.王浩,,我的确是第一次来这奇怪的地方！{wc}你们这难不成是黑店啊！？
SAY.flowchart_game_story.249.酒吧侍者,,哦，原来是新客人啊。{wc}请原谅我刚才的冒犯，{wc}其实我想说的是您一定会喜欢上这里的。{wc}这里绝不是黑店，请您放心。
SAY.flowchart_game_story.254.王浩,,你这人有点奇怪，前后话语不搭，{wc}让我怎么放心！？
SAY.flowchart_game_story.255.酒吧侍者,,先生您别误会，我向您道歉。
SAY.flowchart_game_story.250.王浩,,光道歉可不行啊，{wc}怎么也得有所补偿吧？！
SAY.flowchart_game_story.251.酒吧侍者,,这样吧，我们酒吧有个规矩。{wc}凡是第一次来我们酒吧的客人，{wc}我们都免费赠送一杯酒吧秘制的鸡尾酒，{wc}先生愿意享用么？\n
MENU.flowchart_game_story.252,,拒绝鸡尾酒推荐
MENU.flowchart_game_story.253,,接受鸡尾酒推荐
SAY.flowchart_game_story.259.王浩,,哈哈，你说的也是啊！{wc}有一阵子没来这，还真的挺想念这种感觉得呢。
SAY.flowchart_game_story.260.酒吧侍者,,很高想您还惦记着咱们日落酒吧。{wc}那么这次想点点什么？{wc}鸡尾酒，还是别的？
SAY.flowchart_game_story.261.王浩,,鸡尾酒吧！{wc}难不成最近有新货了么？
SAY.flowchart_game_story.262.王浩,,貌似他没察觉出我是第一次来，{wc}也好，免得面对面尴尬，{wc}我就顺藤摸瓜得了。
SAY.flowchart_game_story.263.酒吧侍者,,倒也没有，{wc}那么，还是来老配方么？
MENU.flowchart_game_story.264,,拒绝鸡尾酒推荐
MENU.flowchart_game_story.265,,接受鸡尾酒推荐
SAY.flowchart_game_story.278.王浩,,唉~算了，{wc}没什么意思，还是回家睡觉吧！
SAY.flowchart_game_story.296.,,游戏失败...
SAY.flowchart_game_story.499.,,王浩拿起第二杯酒，大口的喝了一半。
SAY.flowchart_game_story.501.王浩,,说实话，我真没感觉出来这酒有什么作用哎。{wc}除了口感不错，喝了有一点微醺。{wc}貌似和其他鸡尾酒相比，并没有什么不同的感受啊。{wc}这个侍者没事无聊，逗我玩的么？{wc}怎么听都不觉得他纯粹是为了忽悠我才跟我说这么多吧？{wc}那难道是要劫我的色！！？{wc}呵呵，我看我多想了。
SAY.flowchart_game_story.502.王浩,,目前我就快喝完第二杯了哦，{wc}但是，完全没有你描述的那种夸张的效果。{wc}你这个伙计为推销店里的就可真是煞费苦心啊！
SAY.flowchart_game_story.500.酒吧侍者,,（笑而不语，继续整理酒具）
SAY.flowchart_game_story.504.王浩,,算了，算了，不纠结了。{wc}没效果也罢。{wc}至少喝点酒还是有助睡眠的。{wc}这么冷清的晚上，能有一个人聊聊天也算不错了。
SAY.flowchart_game_story.505.,,吧台前面的电视机里突然开始播报新闻。\n“XXX楼盘今日开盘，现在抢购就送.....\n某高校又有学生因为考学压力跳楼自杀。\n某互联网公司爆出欺诈丑闻。”\n王浩突然间觉得必须吐槽两句，才能发泄出心中的不爽。
SAY.flowchart_game_story.506.王浩,,你说说现在的这些糟糕的媒体们，{wc}社会本来就够冷漠无情的了，整天就知道报道这些令人听了更沮丧的新闻。{wc}看来看去，全都是负能量的东西！{wc}这样真的好么？你说说！？
SAY.flowchart_game_story.507.酒吧侍者,,您说的没错，先生，我也觉得他们很讨厌！{wc}很多时候，一天的好心情都被这些负能量信息给毁了。{wc}搞得每天都好像世界末日一样。
SAY.flowchart_game_story.508.王浩,,可不是么！{wc}还有政府那些莫名其妙的苛捐杂税。{wc}算上加班，我每个月工作180个小时，{wc}辛苦赚来的工资，一半都得交给这些乱七八糟的费用里去了，{wc}真的到手能给自己支配的就那么一丁点。{wc}你说这是为什么啊！？{wc}还有，手机里电视上整天就是好声音之类的真人秀节目，要不就是假到不行的广告。{wc}真的让人感到窒息。{wc}抬眼望去，人们就像是中了手机病毒，变成了“僵尸”一样。{wc}行尸走肉般的穿行在马路和各种交通工具上。{wc}这不就是“僵尸”么？
SAY.flowchart_game_story.509.酒吧侍者,,所以抛开那些十分“享受”这样的生活的“人们”，{wc}那些有所良知的人都选择来我们酒吧这类的地方。{wc}让酒精帮助他们逃离现实啊。您说对不对？
SAY.flowchart_game_story.510.王浩,,太对了，这正是我想要说的！{wc}我真的应该早点来你们酒吧。
SAY.flowchart_game_story.527.酒吧侍者,,现在来也不迟啊，很高兴在这里遇见您。{wc}更高兴的是，你不是那些人。
SAY.flowchart_game_story.530.王浩,,哈哈，那必须不是啊！{wc}我心里话，我烦透了现在的这种“虚拟现实”般的生活。{wc}不瞒你说，来到这里，和你聊天我才第一次感觉到那种安逸。{wc}你懂我的意思么？
SAY.flowchart_game_story.529.酒吧侍者,,当然，我其实早就说过您一定会爱上这里的。{wc}每一位来我们酒吧的客人机会都和你一样，{wc}有着对社会的不满和对生命意义的疑惑。{wc}而很幸运的是，在这间日落酒吧里，他们几乎都找到了他他们想要的东西。
SAY.flowchart_game_story.528.,,王浩一边喝着杯中的酒，一边和侍者聊得越来越投机。\n借着酒兴，王浩吐槽的声音越来越大。\n而侍者就非常的职业的配合这王浩的话应答。{wc}\n时间不知道过去了多久。
SAY.flowchart_game_story.401.王浩,,叫什么？血色浪漫...{wc}好诡异的名字。
SAY.flowchart_game_story.402.酒吧侍者,,是的，名字有些奇怪。{wc}也正是因为这个故事才有这个名字的。\n
SAY.flowchart_game_story.422.王浩,,好吧，反正这里也没有别人可以聊天。{wc}就听你说说吧。
SAY.flowchart_game_story.421.酒吧侍者,,好的先生，让我想想要怎么开始吧。
SAY.flowchart_game_story.420.王浩,,行，你慢慢想。{wc}我有一晚上时间听你的故事。
SAY.flowchart_game_story.412.酒吧侍者,,血色浪漫的故事讲的是酒吧的老板原本并不是做这一行的，{wc}而原来我们酒吧这个位置是一家典当行。
SAY.flowchart_game_story.455.王浩,,这是什么时候的事啊？{wc}我感觉从来不记得这里曾经是典当行啊？
SAY.flowchart_game_story.413.酒吧侍者,,其实我也不清楚，可能很久远了吧。当时我们酒吧的老板因为生意失意，来到这里决定当掉一些自己的身外之物。{wc}而这个看似老古董的典当行的老板是一位年事已高的老人。
SAY.flowchart_game_story.456.王浩,,等等，你是说那种卖古董的地方么？
SAY.flowchart_game_story.414.酒吧侍者,,是的，没错。请先耐心听我说吧。{wc}老人和酒吧的老板见的第一面，就说出了酒吧老板的身世以及生意场上的遭遇，{wc}这让酒吧老板十分惊讶。{wc}那天下午他们坐在典当行里面一边饮着葡萄酒一边聊到了深夜。{wc}老人的话句句落地，让酒吧老板大彻大悟。{wc}几乎决定放下手上的事业，投奔老人为徒。
SAY.flowchart_game_story.457.王浩,,我去！还有这种事情？你逗我的吧。结果怎样？收他做徒弟了么？
SAY.flowchart_game_story.415.酒吧侍者,,老人并没有答应。但是给了他一个古董作为礼物。这是一瓶他珍藏多年的一瓶红葡萄酒，{wc}瓶子装饰的非常精美，而里面的酒看上去也有年头了。{wc}老人说这瓶酒是他专门为酒吧老板准备的，在这里已经足足等了30年了。
SAY.flowchart_game_story.459.王浩,,30年！！…好吧这个故事越来越离谱了。{wc}一瓶酒有什么大不了的，至于这么劳师动众等30年么？
SAY.flowchart_game_story.416.酒吧侍者,,是啊，别说你觉得夸张了。{wc}酒吧老板当时也感到十分困惑。{wc}但是，之后发生的事情才是重点。{wc}相信我保证让你瞠目结舌的。
SAY.flowchart_game_story.458.王浩,,好吧，我先耐下心来，{wc}看看能有多么夸张到，让我瞠目结舌的。
SAY.flowchart_game_story.460.酒吧侍者,,好，那我就继续了啊。{wc}接下来老人打开瓶子，玫瑰的芳香瞬间占满了屋子，那气味令人陶醉。{wc}酒吧老板尝试着喝了一口这酒，之后所感受到的景象让他此生难忘，{wc}就像使用了LSD那种致幻药物一样，在瞬间感觉自己和宇宙结合，涌泉般的信息涌向酒吧老板的大脑。{wc}他似乎看到一位神，含糊不清，但又亲切万分。{wc}好像他们已经相识了好几个世纪。{wc}在那之后的一切都无限奇妙，仿佛瞬间看到了自己一生的片段影像，甚至看到自己的前世和未来的画面。{wc}那位神似乎在向他展示整个宇宙的规则，{wc}因为不同纬度的原因，声音图像全部混为一体，无比美妙。{wc}再后来的似乎时间静止，感觉自己与世界融为一体了。{wc}渐渐地意识模糊。
SAY.flowchart_game_story.461.王浩,,老天，这也太刺激了吧。{wc}听上去更像是电子游戏里才会的样子。{wc}话说，后来呢？这故事就这么结束了？
SAY.flowchart_game_story.462.酒吧侍者,,当然没结束啦，{wc}酒吧老板醒来的时候，老人早已不见，{wc}最令人惊讶的是，这家典当行空空如也。{wc}留下来的，只有这瓶玫瑰葡萄酒和酒吧老板本人。
SAY.flowchart_game_story.463.王浩,,卧槽，{wc}难道说闹了半天，前面说的那些神神道道的都是酒吧老板喝醉了，做的梦吧？{wc}你这个故事有点坑啊！
SAY.flowchart_game_story.464.酒吧侍者,,不是你想的这样。{wc} 首先如果说典当行本来就是空的，但是那瓶神秘的葡萄酒依旧在那里。{wc}要怎么解释呢？\n
SAY.flowchart_game_story.465.王浩,,也对哦，{wc}那酒吧老板之后怎么处理那瓶酒的？{wc}要是我的话，我一定再来一口，{wc}说不定穿越到什么地方，来个星际旅行了。哈哈。
SAY.flowchart_game_story.466.酒吧侍者,,传说自那之后，酒吧老板一蹶不振个，再也没有心思做生意和正常生活。{wc}他不断地在回忆老人所说的每一句话，以及喝下那瓶酒给自己带来的感受。{wc}他花了2年时间各处打听老人的下落，以及在网络上寻找这瓶酒的出处，很显然毫无所获。{wc}于是有一天他终于想通，一夜之间，变卖了自己的资产，开了这家日落酒吧。{wc}他不断的研究玫瑰葡萄酒的奥秘，最终尝试出他的秘方。
SAY.flowchart_game_story.467.王浩,,等等，{wc}不要告诉我你给我喝的这杯血色浪漫里面就有，老板的什么配方？{wc}那我岂不是要和宇宙合体了么！？想想还有点小兴奋呢！
SAY.flowchart_game_story.468.酒吧侍者,,呵呵，那倒不至于，{wc}不过至少可以透露的是，这里面的确还有那神秘的秘方。{wc}只不过计量非常小，很多人甚至都察觉不到。{wc}只会觉得，喝下去以后会神志清爽，很快活飘逸，忘记烦恼和忧愁。{wc}所以来店里的很多客人，都是为了能品尝到老板重现出的神酒。{wc}寻找与世隔绝，世外桃源般的感受的。
SAY.flowchart_game_story.469.王浩,,怪不得，{wc}总看到这家酒吧里充满了人。原来就是为了这杯酒来的啊！{wc}看来我得再仔细品尝一下这神秘的配方。{wc}看看到底能给我带来什么样的感受？
SAY.flowchart_game_story.470.酒吧侍者,,对，你细细体会感觉一下，有什么不一样的感觉？{wc}通常来说，比较敏感的人一杯下去就会有明显的变化了。
SAY.flowchart_game_story.471.,,王浩喝下了杯子里剩下的一口酒，{wc}用舌头舔了舔牙齿，回味了一下。
SAY.flowchart_game_story.473.王浩,,貌似没什么感觉啊。{wc}本来就失眠，头脑清醒身体疲倦。{wc}现在感觉就是身体更疲倦了。{wc}喂，你不会是在忽悠我吧？{wc}欺负我是新来的！
SAY.flowchart_game_story.472.酒吧侍者,,当然不会啊，{wc}我在酒吧做了很久了，请相信我。{wc}看得出你的体质应该要再来第二杯才会进入佳境。
SAY.flowchart_game_story.474.王浩,,这哥们说的这个故事挺有意思的，不像是为了推销这杯酒临时编出来的。{wc}不过说不定他跟每个人都说的这个故事，所以已经被的烂熟了。{wc}到底相信不相信他呢？{wc}总感觉有种被忽悠的感觉，不过这鸡尾酒还真的是挺好喝的。{wc}口感十分特别，而且的确含有玫瑰的芳香。{wc}至少我现在感觉心情好多了，还真是有那么一点神奇呢。{wc}所以要不要再来一杯呢？
MENU.flowchart_game_story.423,,要求第二杯酒
MENU.flowchart_game_story.425,,拒绝第二杯酒
SAY.flowchart_game_story.437.王浩,,被你这么说的，我必须再来一杯啊。{wc}这么神奇的酒，今天能喝到也算是三生有幸了。{wc}期待能见到上帝啊。
SAY.flowchart_game_story.494.,,也不知道是不是一杯酒就醉了？还是自己的真的想喝。王浩发现自己的行动有点不受自己意识的控制。
SAY.flowchart_game_story.438.酒吧侍者,,呵呵，你在开玩笑。{wc}不过我之前也说了，血色浪漫里的秘方是做过大量稀释的。{wc}所以效力或许没那么强。{wc}但是不同的人的体质，反映的强度也会不太一样的。
SAY.flowchart_game_story.439.王浩,,那我更要试一试了。{wc}说真的，我之前也听说过这种致幻的东西能让人看见不可思议的东西。
SAY.flowchart_game_story.441.酒吧侍者,,您的血色浪漫，请慢用。
SAY.flowchart_game_story.429.王浩,,我有点纠结啊。{wc}听你说的故事倒是很有趣，感觉喝了这酒就会看到另一个世界。{wc}但是我的确有点担心。
SAY.flowchart_game_story.430.酒吧侍者,,担心什么？
SAY.flowchart_game_story.446.王浩,,我怕我会进去了出不来啊。{wc}万一我看见了上帝，然后他要带我走怎么办？{wc}我还有贷款没换，我老妈身体不好，还需要我照顾。{wc}最重要的是，我还是单身啊！...\n
SAY.flowchart_game_story.447.酒吧侍者,,呵呵，你真逗。{wc}放心吧，不会有那种事情的。{wc}说这里了所有人都体验过血色浪漫带来的境界。{wc}绝对安全，并且我保证你会爱上它的。\n
SAY.flowchart_game_story.444.王浩,,当真么？
SAY.flowchart_game_story.445.酒吧侍者,,千真万确。{wc}说你可以不相信我，但是你也看到我们酒吧每天都很热闹。{wc}说如果这被血色浪漫不能名副其实的话，他们早就不会再来了。\n
SAY.flowchart_game_story.442.,,也不知道是不是一杯酒就醉了？还是自己的真的想喝。王浩发现自己的行动有点不受自己意识的控制。莫名的说出了本不是自己想说的话。
SAY.flowchart_game_story.493.王浩,,也是，我就是穷屌丝一枚。{wc}说想想你也不会坑我什么，那就再来一杯吧。
SAY.flowchart_game_story.443.酒吧侍者,,明智之举，{wc}这是您的血色浪漫，请慢用。\n
SAY.flowchart_game_story.538.,,意识迷离间，王浩感觉到酒吧周围突然间变得嘈杂起来。
SAY.flowchart_game_story.543.王浩,,咦？奇怪{wc}酒吧里什么时候来了这么多人？而且音乐劲爆起来。{wc}这是什么情况？
SAY.flowchart_game_story.551.王浩,,我手机呢？现在几点了？{wc}这地方怎么突然间这么多人？
SAY.flowchart_game_story.636.王浩,,喂！听得见吗？{wc}这里什么时候来了这么多人啊？！
SAY.flowchart_game_story.539.酒吧侍者,,先生，您说什么？{wc}我没听清。
SAY.flowchart_game_story.545.王浩,,我说这里什么时候这么多人了？！
SAY.flowchart_game_story.638.酒吧侍者,,今晚一直这么多人啊？
SAY.flowchart_game_story.639.王浩,,不可能！{wc}我分明记得我刚来酒吧的时候这里空无一人。{wc}而且还无聊的跟这个侍者聊天，还喝了他给的鸡尾酒。{wc}难道我喝断片了？！
SAY.flowchart_game_story.641.王浩,,奇怪我手机怎么找不到了？{wc}现在几点了？{wc}我是不是喝的有点多了啊？
SAY.flowchart_game_story.640.酒吧侍者,,现在是凌晨3点33分，先生。{wc}根据我的判断您可能有点微醺，{wc}但是并不算是喝多了。{wc}有什么我可以帮您的吗？\n
SAY.flowchart_game_story.637.王浩,,不可能！{wc}我记得很清楚，我刚来的时候这里一个人都没有！{wc}我还问了你为什么，难道你不记得了么？
SAY.flowchart_game_story.546.酒吧侍者,,并没有的，先生。{wc}您刚来的时候这里就是这么多人了。{wc}只不过当时你有些累，所以我就给了您这杯鸡尾酒。{wc}在之后您就开始聊新闻，聊社会什么的。
SAY.flowchart_game_story.547.王浩,,天呐，这怎么可能！~？{wc}刚刚发生的事情那么清晰。我不可能会记错的。{wc}难不成我真的喝断片了？之前的景象都是我的臆想？
SAY.flowchart_game_story.552.王浩,,我一共喝了几杯这酒？{wc}我真的记得刚才我来的时候酒吧里一个人都没有啊。\n
SAY.flowchart_game_story.548.酒吧侍者,,不可能的，先生。{wc}我一直在这里，也看到你来酒吧。{wc}这里一直是真么多人。{wc}而且您一共算下来你只喝了3杯酒，最多有些飘逸快活的感觉。
SAY.flowchart_game_story.569.王浩,,他在撒谎，{wc}我不可能记错来的时候的事情的。{wc}要么就是他在这酒里下了什么迷魂药了。扰乱了我的记忆。{wc}天呐，这真的是一家黑店！我已经是被下药了。{wc}现在怎么办？{wc}跟侍者吵起来，还是找个理由偷偷溜走呢？{wc}总之我得快点离开这里，否则说不定要小命不保的。{wc}电影里都是这样演的...{wc}越想越瘆得慌。
MENU.flowchart_game_story.570,,骂他是个骗子，然后离开。
MENU.flowchart_game_story.573,,假装跟他寒暄，偷偷溜走
SAY.flowchart_game_story.579.王浩,,你胡说！~{wc}我早猜出来你是个骗子了，当时我还在想不可能的。{wc}什么血色浪漫，什么神奇的故事！{wc}只不过就是想骗我喝醉，然后做一些见不得人的事儿！
SAY.flowchart_game_story.580.酒吧侍者,,先生，你真的误会了。{wc}我说的都是事实。{wc}可能是你来的时候身体比较疲惫，喝了我给你调的酒。{wc}之后有些晕了。不过我向你保证，你真的没有喝断片。{wc}我们酒吧每晚都是充满客人的。怎么会像您说的那样空无一人呢？
SAY.flowchart_game_story.589.王浩,,我不听你解释！你们是黑店。{wc}我要离开这里！太令人扫兴了。{wc}本来还真的像你说的，我感觉我开始爱上这里了。{wc}结果你一定是给我下了什么药了！
SAY.flowchart_game_story.590.酒吧侍者,,先生，我可以用生命担保，{wc}我给您的鸡尾酒就是最最普通的酒，绝没有添加其他东西。{wc}如果是我哪里说的不对，我向您道歉。
SAY.flowchart_game_story.591.王浩,,好吧算我倒霉！{wc}是我自己有问题，好了吧。{wc}我现在只想离开这里。而且以后也不想再来这里了！
SAY.flowchart_game_story.592.,,王浩一边大声说着，一边径直走向酒吧的大门。\n伴随着一一肚子的怒火，推开拥挤的人群，\n一时间从吧台到大门短短的距离，变得格外的漫长。\n越是努力推开，越是被热闹的人群挤回来。\n
SAY.flowchart_game_story.622.王浩,,也许吧，那估计是我自己搞混了。{wc}我大概是太累了。这几天都失眠。{wc}神经错乱，产生臆想了。
SAY.flowchart_game_story.623.酒吧侍者,,先生，你能这么想，我很欣慰。{wc}如果您任然不舒服的话，还是早点回家休息吧。{wc}或者在我们酒吧的沙发上躺一会。
SAY.flowchart_game_story.624.王浩,,对，对！{wc}我去趟厕所。先失陪了啊。
SAY.flowchart_game_story.625.酒吧侍者,,先生，厕所是往那个方向。{wc}你现在走的方向是酒吧的大门。
SAY.flowchart_game_story.626.王浩,,好的，我知道了。{wc}我先出去透透气，这里感觉太闷了。
SAY.flowchart_game_story.627.,,王浩一边说着，一边径直走向酒吧的大门。\n伴随着一一肚子的困惑，推开拥挤的人群，\n一时间从吧台到大门短短的距离，变得格外的漫长。\n越是努力推开，越是被热闹的人群挤回来。\n
SAY.flowchart_game_story.594.,,就在这时一个陌生的女性的声音出现在王浩的耳边。\n
SAY.flowchart_game_story.602.???,,你真的想离开这里么？{wc}那外面的世界真的就是你想要的么？{wc}相比加班失眠还有循规蹈矩的生活。有哪一点比的上这里放松自由随心所欲？{wc} 什么才是你内心里认识的真实世界？\n
SAY.flowchart_game_story.606.,,王浩突然间觉得像被电击一样，完全被陌生人说的话语给震撼了。\n随着这位陌生人的声音，\n酒吧里的人们瞬间安静下来了，气氛十分诡异。\n
SAY.flowchart_game_story.604.王浩,,天呐，这人是谁！？{wc}尽然一口气说出了我的全部心声！
SAY.flowchart_game_story.614.王浩,,我的天呐！{wc}没想到竟然是这么美丽的一位女子！{wc}这实在是太出人意料了。
SAY.flowchart_game_story.603.,,王浩转过身来，\n展现在面前的是一位身穿带有亮片的红色晚礼服的十分高雅的女性。\n身上散发出无法形容的魅力，\n几乎可以用天仙来形容。
SAY.flowchart_game_story.613.王浩,,难道这就是今晚的艳遇么？{wc}这辈子貌似从来没有跟美女如此近距离的接触。{wc}我感觉自己已经开始僵硬了...{wc}等等！{wc}她刚刚说的没错。{wc}的确，我并不想要回到那个令我厌恶的世界。{wc}喝断片了又如何呢？至少我感觉到了久违了的快乐。
SAY.flowchart_game_story.629.,,女神看见王浩被吓懵了，微笑着牵住他的手，\n而王浩身体可耻的出卖了自己灵魂，不由自主的回到吧台和女神坐了下来。
SAY.flowchart_game_story.650.王浩,,"我的天,她居然。。。{wc}感觉身体僵硬道不行了！{wc}我该怎么办，不能在女神面前丢人啊！{wc}总得说两句，打破一下僵局啊。{wc}怎么办？说什么好呢？{wc}到底是借势恭维女神两句，然后找机会问她要电话？{wc}还是应该保持矜持，不要让女神觉得我是个24k纯屌丝？"
SAY.flowchart_game_story.630.,,正当王浩，纠结的机会要晕过去的时候，\n女神示意侍者在上了两杯酒。\n并转头看了人群一眼，瞬间人群又开始了往常的喧闹，不再关注王浩。
SAY.flowchart_game_story.651.凯瑟琳,,第一次在酒吧见到你。{wc}也算是一种缘分，{wc}在你离开之前，我请你喝一杯。\n
SAY.flowchart_game_story.645.,,第一章 \n风暴前夜
SAY.flowchart_game_story.658.王浩,,你怎么知道我加班失眠的？{wc}我好像并没有和谁提起过。{wc}你是谁啊！？
SAY.flowchart_game_story.659.王浩,,天呐！！{wc}我都说了些什么啊！~？{wc}女神一定认为我是个白痴的，然后转身就走了！{wc}我果然就是一辈子注定当屌丝了！
SAY.flowchart_game_story.660.,,神秘女子保持着微笑，\n缓缓地拿起杯子递给了王浩。
SAY.flowchart_game_story.661.凯瑟琳,,呵呵，别担心，{wc}我就是这家酒吧的老板，{wc}那个你刚刚听到血色浪漫故事中的主人。{wc}从你进入酒吧我就注意到你了，{wc}从你的脸色上不难看出你加班又失眠的状态，{wc}来我酒吧的很多人都曾经经历过你这样的情景。{wc}日落酒吧就是为你们提供属于你们自己真正快乐的世界的。{wc}我叫凯瑟琳，很高兴能有幸认识你，{wc}干杯！
SAY.flowchart_game_story.662.,,女神抬起了酒杯。\n王浩从来没有感受过如此魅力的邀请，\n下意识的往后多了一下，然后又强忍着振作起来。
SAY.flowchart_game_story.663.王浩,,原来她就是这间酒吧的老板？{wc}如此美貌的女神居然是酒吧老板！？{wc}凯瑟琳，真是人如其名一样美丽啊。
SAY.flowchart_game_story.664.王浩,,原来是这样啊！{wc}哈哈，那个。{wc}我还真没想到这么大一家酒吧的主人居然是个女的，{wc}不是，我意思是说是一位美女。{wc}那个，我的意思是你看上去比我听故事时想象的年轻好多。{wc}我还以为会是个中年大叔呢。
SAY.flowchart_game_story.665.王浩,,糟糕！又说了一堆简直作死的话。{wc}我这嘴简直是欠揍啊！{wc}越紧张越是语无伦次，怎么办！？
SAY.flowchart_game_story.666.王浩,,那个，我不是那个意思啊。{wc}凯瑟琳，你千万别误会。{wc}我其实是想说你很美。
SAY.flowchart_game_story.667.,,王浩吞吞吐吐的支舞了半天，\n越说脸越红，越语无伦次。{wc}\n而凯瑟琳很显然早已习惯了\n别人看到她的美貌有些神魂颠倒的状态了
SAY.flowchart_game_story.668.凯瑟琳,,呵呵，真没看出，你这人还真逗。{wc}你想象中我是不是还有点秃顶，{wc}还有个啤酒肚什么的？
SAY.flowchart_game_story.669.王浩,,没！{wc}没没~！{wc}没没没！绝对没有。
SAY.flowchart_game_story.670.凯瑟琳,,呵呵，别紧张啊。{wc}我跟你开玩笑的，知道你不会那么想。{wc}请原谅我有点冒然拦住你。{wc}我看得出你头一次来日落酒吧，对这里的很多情况不太熟悉，{wc}所以才会有的时候想要自我保护，对不对？
SAY.flowchart_game_story.671.王浩,,对对，你说的太对了。{wc}都怪我错怪了吧台侍者，{wc}差点把他当成骗子，把这里家黑店了。{想想真的很抱歉啊。{wc}那个，还是很惊讶你竟然是酒吧的老板。
