Key,Description,Standard,EN
MENU.flowchart_main.128,,这里关门了么？,is the bar closed?
MENU.flowchart_main.129,,今晚怎么这么冷清？,why it is so quiet tonight?
SAY.flowchart_main.132.王浩,,{confused}嗨，你好，请问这里打样了么？,"{confused}Hi bro, is this bar closed？"
SAY.flowchart_main.134.酒吧侍者,,{anwser}没有，正在营业中，先生。{wc}你想点点什么么？,"{answer}No sir, it is on services{wc}what do you want to order?"
SAY.flowchart_main.165.王浩,,哦……那个，那就给我来杯啤酒吧？{wc}第一次来这里，也不知道有什么不错的酒。,"Oh really?!,well, then give me bottle of beer.{wc}first time to come here, {wc}don't know if you have some thing good?"
SAY.flowchart_main.166.酒吧侍者,,啊哈，好像确实之前不曾看到你。{wc}不管什么原因把你带到这里，你一定会爱上这里的。,Ah ha! It's true! I haven't seen you before in here.{wc} no matter what's the reason to bring you here.{wc}trust me you will falling in  love here!
SAY.flowchart_main.220.王浩,,是么！？{wc}呵呵，希望真的如你是我说。,"Well {wc} thanks for you nice words,{wc}I hope it's true."
SAY.flowchart_main.221.酒吧侍者,,一般第一次来日落酒吧的人，{wc}我都会推荐你尝尝我们特制的鸡尾酒。{wc}你要尝试一下吗？,"Let me see,{wc}usually  I will introduce our exclusive cocktail to the new comer.{wc}would you like to try it?"
MENU.flowchart_main.222,,拒绝鸡尾酒推荐,Refuse the cocktail
MENU.flowchart_main.224,,接受鸡尾酒推荐,Accept the cocktail
SAY.flowchart_main.138.王浩,,嘿，伙计!{wc}今晚这里怎么这么冷清？{wc}人都去哪里了？{wc}平时好像挺热闹的啊？！，{wc}今天是有什么的情况么？,Hey buddy.{wc}what makes here such quiet.{wc}where are all those people tonight?{wc}it should be noisy as always.{wc} What happened?
SAY.flowchart_main.139.酒吧侍者,,人多人少有那么重要么？{wc}难道每一个人来落日酒吧，{wc}不就是热爱它与世隔绝的体验，{wc}体验逃离真实，醍醐灌顶的感觉么？,what's the matter about the numbers of people here?{wc}isn't every people who came to Sunset Bar{wc} are looking for the escape from the reality?{wc} and feeling its unique stunning here?!
SAY.flowchart_main.161.王浩,,{shocked}我擦，这伙计眼神呆滞，{wc}说出的话怎么有种背后发凉的感觉。{wc}这里不会是家黑店吧……,{shocked}What the hell! This man has a dead fish eyes，{wc}and what he said make me chill{wc}is this a former bar?!
MENU.flowchart_main.239,,质问他什么意思,
MENU.flowchart_main.242,,先顺着侍者的话聊聊,
SAY.flowchart_main.284.酒吧侍者,,血色浪漫的故事讲的是酒吧的老板原本并不是做这一行的，{wc}原来这个位置是一个典当行。{wc}酒吧的老板因为生意失意，来到这里决定当掉一些自己的身外之物。{wc}而这个看似老古董的典当行的老板是一位年事已高的老人。,
SAY.flowchart_main.310.酒吧侍者,,老人和酒吧的老板见的第一面，就说出了酒吧老板的身世以及生意场上的遭遇，{wc}这让酒吧老板十分惊讶。{wc}那天下午他们坐在典当行里面一遍饮着葡萄酒一遍聊到了深夜。{wc}老人的话句句落地，让酒吧老板大彻大悟。{wc}几乎决定放下手上的事业，决定投奔老人为徒。{wc}老人并没有答应。但是给了他一个古董作为礼物。,
SAY.flowchart_main.311.酒吧侍者,,这是一瓶他珍藏多年的一瓶红葡萄酒，{wc}瓶子装饰的非常精美，而里面的酒也是看上去无法判断年份。{wc}老人说这瓶酒是他专门为酒吧老板准备的，在这里已经足足等了30年了。{wc}酒吧老板感到十分困惑，老人打开瓶子，玫瑰的芳香瞬间占满了屋子，那气味令人陶醉。{wc}酒吧老板尝试着喝了一口这酒，之后所感受到的景象让他此生难忘，{wc}就像使用了LSD一样，在瞬间感觉自己和宇宙结合，涌泉般的信息涌向酒吧老板的大脑。{wc}他似乎看到一位神，含糊不清，但又亲切万分。{wc}好像他们已经相识了好几个世纪。{wc}在那之后的一切都无限奇妙，渐渐地意识模糊。,
SAY.flowchart_main.312.酒吧侍者,,酒吧老板醒来的时候，老人早已不见，{wc}最令人惊讶的是，这家典当行空空如也。{wc}留下来的，只有这瓶玫瑰葡萄酒和酒吧老板本人。{wc}自那之后，酒吧老板一蹶不振个，再也没有心思做生意和正常生活，{wc}他不断地在回忆老人所说的每一句话，以及喝下那瓶酒给自己带来的感受。{wc}他花了2年时间各处打听老人的下落，以及在网络上寻找这瓶酒的出处，很显然毫无所获。{wc}于是有一天他终于想通，一夜之间，变卖了自己的资产，开了这家日落酒吧。{wc}他不断的研究玫瑰葡萄酒的奥秘，最终尝试出他的秘方。,
SAY.flowchart_main.313.酒吧侍者,,所以来店里的很多客人，都是为了能品尝到老板重现出的神酒。{wc}而这杯血色浪漫里就含有少量的秘方。,
SETTEXT.flowchart_main.215,,《日落酒吧怪谈》,THE 3UN3ET BAR
MENU.flowchart_main.219,,游戏开始,START GAME
SAY.flowchart_main.228.王浩,,算了，{wc}还是给我来杯扎啤吧。,No! I choose not.{wc}please forgive me for my old fashion habit{wc} I would prefer a bottle of beer.
SAY.flowchart_main.229.酒吧侍者,,{anwser}好的先生，这是您的扎啤。{wc}如果您改变主意了，鸡尾酒随时为您准备。,"{answer}Ok, Sir, here is your beer.{wc} Let me know if you changed your mind.{wc} I will always be your service"
SAY.flowchart_main.234.王浩,,好的谢谢，如果我想要了会告诉你。,"Yeah man, thx.{wc} I definitely will let you know,if I do."
SAY.flowchart_main.267.王浩,,听起来不错，{wc}来一杯吧！,
SAY.flowchart_main.266.酒吧侍者,,好的，请稍等。{wc}这是您的鸡尾酒,
SAY.flowchart_main.270.王浩,,谢谢,
SAY.flowchart_main.232.,,王浩拿起了酒杯，慢慢地喝下一口这杯血色浪漫。,
SAY.flowchart_main.273.酒吧侍者,,对了，{wc}我们特制的鸡尾酒有一个很特别的名字，{wc}叫做血色浪漫。{wc}据说它背后还有一个很精彩的故事，{wc}你想听听吗？,
MENU.flowchart_main.282,,听故事,
MENU.flowchart_main.274,,不听故事,
SAY.flowchart_main.246.王浩,,{confused}喂，你说什么逃离现实？{wc}什么醍醐灌顶啊？,
SAY.flowchart_main.247.酒吧侍者,,没什么啊，你应该比我清楚才对。{wc}除非你是第一次来日落酒吧。,
SAY.flowchart_main.248.王浩,,我的确是第一次来这奇怪的地方！{wc}你们这难不成是黑店啊！？,
SAY.flowchart_main.249.酒吧侍者,,哦，原来是新客人啊。{wc}请原谅我刚才的冒犯，{wc}其实我想说的是您一定会喜欢上这里的。{wc}这里绝不是黑店，请您放心。,
SAY.flowchart_main.254.王浩,,你这人有点奇怪，前后话语不搭，{wc}让我怎么放心！？,
SAY.flowchart_main.255.酒吧侍者,,先生您别误会，我向您道歉。,
SAY.flowchart_main.250.王浩,,光道歉可不行啊，{wc}怎么也得有所补偿吧？！,
SAY.flowchart_main.251.酒吧侍者,,这样吧，我们酒吧有个规矩。{wc}凡是第一次来我们酒吧的客人，{wc}我们都免费赠送一杯酒吧秘制的鸡尾酒，{wc}先生愿意享用么？\n,
MENU.flowchart_main.252,,拒绝鸡尾酒推荐,
MENU.flowchart_main.253,,接受鸡尾酒推荐,
SAY.flowchart_main.259.王浩,,哈哈，你说的也是啊！{wc}有一阵子没来这，还真的挺想念这种感觉得呢。,
SAY.flowchart_main.260.酒吧侍者,,很高想您还惦记着咱们日落酒吧。{wc}那么这次想点点什么？{wc}鸡尾酒，还是别的？,
SAY.flowchart_main.261.王浩,,鸡尾酒吧！{wc}难不成最近有新货了么？,
SAY.flowchart_main.262.王浩,,（貌似他没察觉出我是第一次来，{wc}也好，免得面对面尴尬，{wc}我就顺藤摸瓜得了。）,
SAY.flowchart_main.263.酒吧侍者,,倒也没有，{wc}那么，还是来老配方么？,
MENU.flowchart_main.264,,拒绝鸡尾酒推荐,
MENU.flowchart_main.265,,接受鸡尾酒推荐,
SAY.flowchart_main.278.王浩,,唉~算了，{wc}没什么意思，还是回家睡觉吧！,
SAY.flowchart_main.296.,,游戏失败...,
MENU.flowchart_main.295,,结束游戏,
SAY.flowchart_main.291.,,未完待续！,
MENU.flowchart_main.292,,结束游戏,
SAY._CommandCopyBuffer.312.酒吧侍者,,酒吧老板醒来的时候，老人早已不见，{wc}最令人惊讶的是，这家典当行空空如也。{wc}留下来的，只有这瓶玫瑰葡萄酒和酒吧老板本人。{wc}自那之后，酒吧老板一蹶不振个，再也没有心思做生意和正常生活，{wc}他不断地在回忆老人所说的每一句话，以及喝下那瓶酒给自己带来的感受。{wc}他花了2年时间各处打听老人的下落，以及在网络上寻找这瓶酒的出处，很显然毫无所获。{wc}于是有一天他终于想通，一夜之间，变卖了自己的资产，开了这家日落酒吧。{wc}他不断的研究玫瑰葡萄酒的奥秘，最终尝试出他的秘方。{wc}所以来店里的很多客人，都是为了能品尝到老板重现出的神酒。{wc}而这杯血色浪漫里就含有少量的秘方。,
CHARACTER.凯瑟琳,,凯瑟琳,Catherine
CHARACTER.酒吧侍者,,酒吧侍者,Bartender
CHARACTER.王浩,故事主人公，IT软件设计师。王浩，单身，屌丝宅男。,王浩,Wong Hao
